tile_x,tile_y,zoom,yard_name
67786,46432,17,Yard (Main)
67784,46434,17,Yard (Main)
67781,46435,17,Yard (Main)
67781,46439,17,Yard (Main)
67779,46521,17,Yard (Main)
67773,46527,17,Yard (Main)
67770,46526,17,Yard (Main)
67769,46525,17,Yard (Main)
67768,46524,17,Yard (Main)
67767,46523,17,Yard (Main)
67766,46522,17,Yard (Main)
67770,46512,17,Yard (Main)
67759,46459,17,Yard (Main)
67781,46440,17,Yard (Main)
67798,46423,17,Yard (Main)
67799,46424,17,Yard (Main)
67797,46424,17,Yard (Main)
67800,46425,17,Yard (Main)
67801,46426,17,Yard (Main)
67802,46427,17,Yard (Main)
67803,46428,17,Yard (Main)
67804,46429,17,Yard (Main)
67805,46430,17,Yard (Main)
67806,46431,17,Yard (Main)
67807,46432,17,Yard (Main)
67794,46425,17,Yard (Main)
67793,46426,17,Yard (Main)
67792,46427,17,Yard (Main)
67791,46428,17,Yard (Main)
67790,46429,17,Yard (Main)
67788,46429,17,Yard (Main)
67789,46430,17,Yard (Main)
67787,46430,17,Yard (Main)
67786,46431,17,Yard (Main)
67786,46433,17,Yard (Main)
67785,46434,17,Yard (Main)
67781,46434,17,Yard (Main)
67780,46521,17,Yard (Main)
67774,46527,17,Yard (Main)
67770,46527,17,Yard (Main)
67769,46526,17,Yard (Main)
67768,46525,17,Yard (Main)
67767,46524,17,Yard (Main)
67765,46522,17,Yard (Main)
67770,46511,17,Yard (Main)
67759,46458,17,Yard (Main)
67798,46422,17,Yard (Main)
67797,46423,17,Yard (Main)
67800,46424,17,Yard (Main)
67801,46425,17,Yard (Main)
67802,46426,17,Yard (Main)
67803,46427,17,Yard (Main)
67804,46428,17,Yard (Main)
67805,46429,17,Yard (Main)
67806,46430,17,Yard (Main)
67807,46431,17,Yard (Main)
67808,46432,17,Yard (Main)
67794,46424,17,Yard (Main)
67793,46425,17,Yard (Main)
67792,46426,17,Yard (Main)
67791,46427,17,Yard (Main)
67790,46428,17,Yard (Main)
67790,46430,17,Yard (Main)
67789,46429,17,Yard (Main)
67788,46428,17,Yard (Main)
67787,46429,17,Yard (Main)
67786,46430,17,Yard (Main)
67785,46431,17,Yard (Main)
67785,46433,17,Yard (Main)
67781,46433,17,Yard (Main)
67780,46434,17,Yard (Main)
67780,46520,17,Yard (Main)
67775,46527,17,Yard (Main)
67770,46528,17,Yard (Main)
67769,46527,17,Yard (Main)
67768,46526,17,Yard (Main)
67767,46525,17,Yard (Main)
67766,46524,17,Yard (Main)
67765,46523,17,Yard (Main)
67770,46510,17,Yard (Main)
67760,46458,17,Yard (Main)
67798,46421,17,Yard (Main)
67797,46422,17,Yard (Main)
67800,46423,17,Yard (Main)
67801,46424,17,Yard (Main)
67802,46425,17,Yard (Main)
67803,46426,17,Yard (Main)
67804,46427,17,Yard (Main)
67805,46428,17,Yard (Main)
67806,46429,17,Yard (Main)
67807,46430,17,Yard (Main)
67808,46431,17,Yard (Main)
67794,46423,17,Yard (Main)
67793,46424,17,Yard (Main)
67792,46425,17,Yard (Main)
67791,46426,17,Yard (Main)
67790,46427,17,Yard (Main)
67789,46428,17,Yard (Main)
67788,46427,17,Yard (Main)
67787,46428,17,Yard (Main)
67786,46429,17,Yard (Main)
67785,46430,17,Yard (Main)
67784,46431,17,Yard (Main)
67781,46432,17,Yard (Main)
67780,46433,17,Yard (Main)
67779,46434,17,Yard (Main)
67781,46520,17,Yard (Main)
67776,46527,17,Yard (Main)
67769,46528,17,Yard (Main)
67768,46527,17,Yard (Main)
67767,46526,17,Yard (Main)
67766,46525,17,Yard (Main)
67765,46524,17,Yard (Main)
67764,46523,17,Yard (Main)
67770,46509,17,Yard (Main)
67771,46510,17,Yard (Main)
67760,46457,17,Yard (Main)
67799,46421,17,Yard (Main)
67796,46422,17,Yard (Main)
67801,46423,17,Yard (Main)
67802,46424,17,Yard (Main)
67803,46425,17,Yard (Main)
67804,46426,17,Yard (Main)
67805,46427,17,Yard (Main)
67806,46428,17,Yard (Main)
67807,46429,17,Yard (Main)
67808,46430,17,Yard (Main)
67794,46422,17,Yard (Main)
67793,46423,17,Yard (Main)
67792,46424,17,Yard (Main)
67791,46425,17,Yard (Main)
67790,46426,17,Yard (Main)
67789,46427,17,Yard (Main)
67788,46426,17,Yard (Main)
67787,46427,17,Yard (Main)
67786,46428,17,Yard (Main)
67785,46429,17,Yard (Main)
67784,46430,17,Yard (Main)
67783,46431,17,Yard (Main)
67781,46431,17,Yard (Main)
67782,46432,17,Yard (Main)
67780,46432,17,Yard (Main)
67779,46433,17,Yard (Main)
67779,46435,17,Yard (Main)
67781,46519,17,Yard (Main)
67777,46527,17,Yard (Main)
67776,46528,17,Yard (Main)
67769,46529,17,Yard (Main)
67766,46526,17,Yard (Main)
67765,46525,17,Yard (Main)
67764,46524,17,Yard (Main)
67770,46508,17,Yard (Main)
67771,46509,17,Yard (Main)
67761,46457,17,Yard (Main)
67799,46420,17,Yard (Main)
67800,46421,17,Yard (Main)
67796,46421,17,Yard (Main)
67801,46422,17,Yard (Main)
67802,46423,17,Yard (Main)
67803,46424,17,Yard (Main)
67804,46425,17,Yard (Main)
67805,46426,17,Yard (Main)
67806,46427,17,Yard (Main)
67807,46428,17,Yard (Main)
67808,46429,17,Yard (Main)
67794,46421,17,Yard (Main)
67793,46422,17,Yard (Main)
67792,46423,17,Yard (Main)
67791,46424,17,Yard (Main)
67790,46425,17,Yard (Main)
67789,46426,17,Yard (Main)
67788,46425,17,Yard (Main)
67787,46426,17,Yard (Main)
67786,46427,17,Yard (Main)
67785,46428,17,Yard (Main)
67784,46429,17,Yard (Main)
67783,46430,17,Yard (Main)
67782,46431,17,Yard (Main)
67781,46430,17,Yard (Main)
67780,46431,17,Yard (Main)
67779,46432,17,Yard (Main)
67778,46435,17,Yard (Main)
67782,46519,17,Yard (Main)
67777,46526,17,Yard (Main)
67777,46528,17,Yard (Main)
67769,46530,17,Yard (Main)
67766,46527,17,Yard (Main)
67765,46526,17,Yard (Main)
67764,46525,17,Yard (Main)
67771,46508,17,Yard (Main)
67761,46456,17,Yard (Main)
67799,46419,17,Yard (Main)
67800,46420,17,Yard (Main)
67801,46421,17,Yard (Main)
67795,46421,17,Yard (Main)
67802,46422,17,Yard (Main)
67803,46423,17,Yard (Main)
67804,46424,17,Yard (Main)
67805,46425,17,Yard (Main)
67806,46426,17,Yard (Main)
67807,46427,17,Yard (Main)
67808,46428,17,Yard (Main)
67809,46429,17,Yard (Main)
67794,46420,17,Yard (Main)
67793,46421,17,Yard (Main)
67792,46422,17,Yard (Main)
67791,46423,17,Yard (Main)
67790,46424,17,Yard (Main)
67789,46425,17,Yard (Main)
67788,46424,17,Yard (Main)
67787,46425,17,Yard (Main)
67786,46426,17,Yard (Main)
67785,46427,17,Yard (Main)
67784,46428,17,Yard (Main)
67783,46429,17,Yard (Main)
67782,46430,17,Yard (Main)
67779,46431,17,Yard (Main)
67778,46436,17,Yard (Main)
67783,46519,17,Yard (Main)
67778,46526,17,Yard (Main)
67768,46530,17,Yard (Main)
67766,46528,17,Yard (Main)
67765,46527,17,Yard (Main)
67771,46507,17,Yard (Main)
67761,46455,17,Yard (Main)
67799,46418,17,Yard (Main)
67800,46419,17,Yard (Main)
67798,46419,17,Yard (Main)
67801,46420,17,Yard (Main)
67802,46421,17,Yard (Main)
67795,46420,17,Yard (Main)
67803,46422,17,Yard (Main)
67804,46423,17,Yard (Main)
67805,46424,17,Yard (Main)
67806,46425,17,Yard (Main)
67807,46426,17,Yard (Main)
67808,46427,17,Yard (Main)
67809,46428,17,Yard (Main)
67810,46429,17,Yard (Main)
67794,46419,17,Yard (Main)
67793,46420,17,Yard (Main)
